station_name,time,sea_level,latitude,longitude
S0,2000-01-01 00:00:00,-1.0856306033005612,0.0,0.0
S0,2000-01-01 01:00:00,0.9973454465835858,0.0,0.0
S0,2000-01-01 02:00:00,0.28297849805199204,0.0,0.0
S0,2000-01-01 03:00:00,-1.506294713918092,0.0,0.0
S0,2000-01-01 04:00:00,-0.5786002519685364,0.0,0.0
S0,2000-01-01 05:00:00,1.651436537097151,0.0,0.0
S0,2000-01-01 06:00:00,-2.426679243393074,0.0,0.0
S0,2000-01-01 07:00:00,-0.42891262885617726,0.0,0.0
S0,2000-01-01 08:00:00,1.265936258705534,0.0,0.0
S0,2000-01-01 09:00:00,-0.8667404022651017,0.0,0.0
S0,2000-01-01 10:00:00,-0.6788861516220543,0.0,0.0
S0,2000-01-01 11:00:00,-0.09470896893689112,0.0,0.0
S0,2000-01-01 12:00:00,1.4913896261242878,0.0,0.0
S0,2000-01-01 13:00:00,-0.638901996684651,0.0,0.0
S0,2000-01-01 14:00:00,-0.44398195964606546,0.0,0.0
S0,2000-01-01 15:00:00,-0.43435127561851733,0.0,0.0
S0,2000-01-01 16:00:00,2.2059300827254558,0.0,0.0
S0,2000-01-01 17:00:00,2.1867860889737867,0.0,0.0
S0,2000-01-01 18:00:00,1.004053897878877,0.0,0.0
S0,2000-01-01 19:00:00,0.386186399174856,0.0,0.0
S0,2000-01-01 20:00:00,0.7373685758962422,0.0,0.0
S0,2000-01-01 21:00:00,1.490732028150799,0.0,0.0
S0,2000-01-01 22:00:00,-0.9358338684023914,0.0,0.0
S0,2000-01-01 23:00:00,1.1758290447821034,0.0,0.0
S0,2000-01-02 00:00:00,-1.2538806677490124,0.0,0.0
S0,2000-01-02 01:00:00,-0.6377515024534103,0.0,0.0
S0,2000-01-02 02:00:00,0.9071051958003012,0.0,0.0
S0,2000-01-02 03:00:00,-1.428680700225969,0.0,0.0
S0,2000-01-02 04:00:00,-0.1400687201886661,0.0,0.0
S0,2000-01-02 05:00:00,-0.8617548958596855,0.0,0.0
S0,2000-01-02 06:00:00,-0.2556193705305969,0.0,0.0
S0,2000-01-02 07:00:00,-2.7985891054607244,0.0,0.0
S0,2000-01-02 08:00:00,-1.771533104509847,0.0,0.0
S0,2000-01-02 09:00:00,-0.6998772345979173,0.0,0.0
S0,2000-01-02 10:00:00,0.9274624317585825,0.0,0.0
